studentNum,firstName,lastName,email,addressStreet,addressCity,addressProvince,TA,status,course
239,Everett,Klugel,eklugel5s@mySeneca.ca,640 Meadow Valley Place,Toronto,ON,FALSE,Full Time,7
240,Athena,Kyteley,akyteley5t@mySeneca.ca,96633 Fieldstone Park,Toronto,ON,FALSE,Full Time,3
241,Bald,Brixey,bbrixey5u@mySeneca.ca,05 Crescent Oaks Road,Toronto,ON,FALSE,Part Time,1
242,Aeriell,Tingley,atingley5v@mySeneca.ca,2 Mayer Drive,Toronto,ON,FALSE,Part Time,6
243,Michail,Doige,mdoige5w@mySeneca.ca,7 Pierstorff Center,Toronto,ON,FALSE,Full Time,2
244,Aura,Esmead,aesmead5x@mySeneca.ca,24232 Wayridge Trail,Toronto,ON,FALSE,Full Time,6
245,Ernie,Birth,ebirth5y@mySeneca.ca,15060 Meadow Ridge Drive,Toronto,ON,FALSE,Part Time,4
246,Stanwood,Phillips,sphillips5z@mySeneca.ca,68 Johnson Parkway,Toronto,ON,FALSE,Full Time,2
247,Raquela,Sign,rsign60@mySeneca.ca,74 High Crossing Avenue,Toronto,ON,FALSE,Full Time,7
248,Christian,Tarbet,ctarbet61@mySeneca.ca,7 Debra Alley,Toronto,ON,FALSE,Part Time,6
249,Cassy,Colquyte,ccolquyte62@mySeneca.ca,7745 Sachs Road,Toronto,ON,FALSE,Full Time,7
250,Gale,Davidowsky,gdavidowsky63@mySeneca.ca,1 Alpine Place,Toronto,ON,FALSE,Full Time,3
251,Sascha,Barhems,sbarhems64@mySeneca.ca,9708 Dixon Alley,Toronto,ON,FALSE,Part Time,1
252,Cristionna,Beeching,cbeeching65@mySeneca.ca,7865 Sullivan Center,Toronto,ON,FALSE,Full Time,2
253,Binny,Casely,bcasely66@mySeneca.ca,16 Clemons Plaza,Toronto,ON,FALSE,Full Time,3
254,Gnni,Giovannacc@i,ggiovannacci67@mySeneca.ca,729 Parkside Road,Toronto,ON,FALSE,Full Time,3
255,Ignaz,Saintpierre,isaintpierre68@mySeneca.ca,3190 Fairfield Road,Toronto,ON,FALSE,Full Time,2
256,Penny,Souza,psouza69@mySeneca.ca,8557 Lindbergh Hill,Toronto,ON,FALSE,Full Time,4
257,Lothaire,Aveling,laveling6a@mySeneca.ca,60 Kennedy Place,Toronto,ON,FALSE,Part Time,6
258,Abramo,Cecil,acecil6b@mySeneca.ca,920 Anthes Parkway,Toronto,ON,FALSE,Full Time,2
259,Tessy,Verny,tverny6c@mySeneca.ca,8142 School Plaza,Toronto,ON,FALSE,Part Time,6
260,Jojo,Tschierasche,jtschierasche6d@mySeneca.ca,0560 Di Loreto Crossing,Toronto,ON,FALSE,Part Time,6
